DATE,PROJECT_ID,PROJECT_TYPE,ABC,NUM_BIDS,WINNER_NAME,CONTRACT_PRICE,DURATION
1/1/2020,3602,Infrastructure Projects,1606239455.00,3,Denji,1606232762.00,33
1/1/2020,3624,Goods,1961096282.00,2,Power,1961089260.00,11
1/1/2020,3642,Infrastructure Projects,198074848.00,2,Makima,198078287.00,13
1/1/2020,3804,Goods,1265216403.00,1,Mikata,1265215963.00,9
1/1/2020,3951,Consulting Services,596244872.00,2,Denji,596236157.00,4
1/2/2020,966,Infrastructure Projects,1938249259.00,1,Denji,1938241775.00,27
1/2/2020,1293,Goods,155408778.00,3,Hayakawa ,155413073.00,11
1/2/2020,2062,Consulting Services,117562222.00,8,Mikata,117560328.00,8
1/3/2020,2711,Goods,841505448.00,2,Hayakawa ,841512164.00,4
1/3/2020,3386,Infrastructure Projects,1683883574.00,1,Denji,1683874917.00,24
1/4/2020,683,Infrastructure Projects,1883993509.00,8,Pochita,1884001597.00,14
1/4/2020,1246,Goods,238229989.00,6,Denji,238237386.00,6
1/4/2020,3886,Consulting Services,669762753.00,3,Reze,669767911.00,11
1/5/2020,3054,Consulting Services,600989933.00,10,Fami,600993607.00,9
1/5/2020,3077,Consulting Services,869489353.00,6,Reze,869485460.00,7
1/5/2020,4550,Infrastructure Projects,1751026876.00,1,Power,1751027927.00,24
1/6/2020,824,Infrastructure Projects,1943557435.00,2,Fami,1943563711.00,23
1/6/2020,3107,Consulting Services,1036178480.00,10,Himeno,1036182303.00,4
1/6/2020,4430,Goods,893699861.00,1,Nayuta,893693499.00,7
1/7/2020,3089,Infrastructure Projects,1180795750.00,2,Mikata,1180805518.00,35
1/7/2020,3266,Consulting Services,803875442.00,1,Makima,803883868.00,5
1/7/2020,3471,Infrastructure Projects,341719069.00,2,Mikata,341710261.00,21
1/8/2020,481,Infrastructure Projects,1971649739.00,4,Makima,1971641749.00,13
1/8/2020,2916,Goods,1732501927.00,10,Mikata,1732501817.00,10
1/8/2020,3897,Goods,863110709.00,3,Nayuta,863106997.00,7
1/9/2020,1608,Goods,1432024409.00,10,Denji,1432033068.00,7
1/9/2020,2064,Infrastructure Projects,474072132.00,3,Makima,474065191.00,26
1/9/2020,4375,Goods,794639722.00,3,Denji,794644508.00,4
1/9/2020,4889,Goods,1071830829.00,3,Pochita,1071823063.00,3
1/10/2020,1056,Consulting Services,627086683.00,9,Hayakawa ,627076870.00,7
1/10/2020,1236,Goods,1084948850.00,6,Mikata,1084951764.00,6
1/10/2020,3345,Consulting Services,349976168.00,7,Fami,349982588.00,7
1/10/2020,4192,Goods,1494223256.00,3,Hayakawa ,1494226956.00,9
1/10/2020,4259,Consulting Services,1413645508.00,3,Denji,1413639234.00,8
1/11/2020,1881,Goods,1471877925.00,5,Himeno,1471874217.00,11
1/12/2020,673,Consulting Services,582408312.00,5,Mikata,582417533.00,9
1/12/2020,3353,Consulting Services,968333241.00,1,Makima,968328746.00,11
1/12/2020,3619,Consulting Services,365358118.00,1,Pochita,365360938.00,8
1/13/2020,288,Consulting Services,1074552211.00,5,Denji,1074558828.00,7
1/13/2020,634,Consulting Services,420865721.00,2,Himeno,420862606.00,6
1/13/2020,1080,Infrastructure Projects,1203191922.00,9,Fami,1203188715.00,21
1/13/2020,1879,Goods,725673526.00,7,Makima,725667899.00,4
1/13/2020,2626,Infrastructure Projects,286671689.00,9,Makima,286671916.00,19
1/13/2020,3898,Consulting Services,632046743.00,1,Mikata,632038230.00,9
1/13/2020,4203,Consulting Services,280611036.00,2,Denji,280618338.00,7
1/14/2020,311,Consulting Services,247029322.00,6,Reze,247029432.00,4
1/14/2020,1118,Goods,360977541.00,5,Fami,360975393.00,5
1/14/2020,3906,Goods,165118498.00,1,Power,165125331.00,6
1/14/2020,4659,Goods,435166582.00,3,Power,435171983.00,12
1/15/2020,757,Consulting Services,1374182505.00,7,Himeno,1374185387.00,9
1/15/2020,1599,Goods,879659605.00,4,Pochita,879650541.00,3
1/15/2020,4490,Infrastructure Projects,1503692597.00,2,Pochita,1503699043.00,32
1/16/2020,1571,Infrastructure Projects,868812586.00,5,Makima,868805665.00,22
1/16/2020,3009,Goods,1937708437.00,3,Pochita,1937700282.00,7
1/17/2020,630,Infrastructure Projects,1682570467.00,1,Hayakawa ,1682576081.00,30
1/17/2020,1841,Consulting Services,1409925002.00,9,Himeno,1409922895.00,7
1/17/2020,2531,Infrastructure Projects,1441084457.00,6,Denji,1441080216.00,33
1/17/2020,2968,Consulting Services,284198071.00,9,Denji,284189975.00,6
1/17/2020,3780,Goods,1069809344.00,2,Fami,1069806433.00,3
1/18/2020,106,Goods,249473555.00,6,Denji,249473130.00,6
1/18/2020,223,Consulting Services,826158439.00,9,Mikata,826167912.00,10
1/18/2020,1145,Consulting Services,1468736271.00,7,Mikata,1468741642.00,7
1/18/2020,2286,Infrastructure Projects,184728633.00,8,Mikata,184737546.00,21
1/18/2020,2558,Infrastructure Projects,300587680.00,8,Mikata,300584878.00,19
1/18/2020,3473,Consulting Services,460614250.00,2,Denji,460607509.00,5
1/18/2020,4383,Goods,327282380.00,3,Power,327280567.00,9
1/18/2020,4953,Goods,1530731955.00,5,Hayakawa ,1530734948.00,8
1/19/2020,2829,Infrastructure Projects,282081699.00,9,Mikata,282091002.00,18
1/20/2020,949,Goods,118007681.00,10,Mikata,118010833.00,11
1/20/2020,1668,Consulting Services,1291156318.00,4,Fami,1291164558.00,9
1/21/2020,2206,Goods,1467355839.00,4,Mikata,1467352445.00,10
1/21/2020,2859,Consulting Services,399715295.00,9,Fami,399718428.00,8
1/22/2020,1877,Infrastructure Projects,213294828.00,9,Makima,213300485.00,13
1/23/2020,458,Consulting Services,1149253032.00,1,Pochita,1149253361.00,7
1/23/2020,2308,Infrastructure Projects,1722488417.00,5,Denji,1722490677.00,31
1/23/2020,2818,Goods,952282292.00,7,Nayuta,952292191.00,9
1/23/2020,3429,Goods,1992913860.00,3,Nayuta,1992916813.00,5
1/23/2020,3777,Consulting Services,1588958885.00,2,Himeno,1588953686.00,11
1/23/2020,4388,Goods,1249673274.00,3,Makima,1249679223.00,9
1/24/2020,2496,Goods,957649552.00,5,Denji,957641540.00,7
1/24/2020,3550,Goods,1386835584.00,2,Mikata,1386835091.00,11
1/24/2020,4827,Infrastructure Projects,284741769.00,3,Hayakawa ,284733503.00,14
1/25/2020,24,Goods,95098762.00,1,Pochita,95096367.00,7
1/25/2020,886,Infrastructure Projects,896232402.00,2,Makima,896235940.00,36
1/25/2020,1560,Consulting Services,180479177.00,10,Nayuta,180474493.00,12
1/25/2020,1990,Infrastructure Projects,387913753.00,5,Mikata,387917787.00,22
1/25/2020,2142,Consulting Services,1063580754.00,5,Reze,1063583353.00,8
1/25/2020,4981,Consulting Services,35297563.00,1,Power,35301332.00,6
1/26/2020,1314,Consulting Services,1866660995.00,3,Reze,1866652232.00,5
1/26/2020,2205,Consulting Services,335689685.00,3,Fami,335686405.00,10
1/26/2020,3501,Consulting Services,964048373.00,2,Pochita,964050029.00,5
1/26/2020,3526,Infrastructure Projects,627272494.00,2,Denji,627272009.00,20
1/26/2020,4573,Goods,707616788.00,3,Fami,707613683.00,11
1/27/2020,497,Consulting Services,1255085028.00,5,Makima,1255083219.00,11
1/27/2020,4622,Goods,961772296.00,1,Mikata,961767664.00,9
1/28/2020,823,Consulting Services,172765737.00,7,Pochita,172769432.00,10
1/28/2020,1256,Consulting Services,1456738934.00,3,Hayakawa ,1456747876.00,11
1/28/2020,2057,Goods,865901139.00,10,Reze,865898169.00,8
1/28/2020,2112,Consulting Services,1518105330.00,6,Power,1518110419.00,7
1/28/2020,2806,Consulting Services,994388127.00,10,Reze,994385297.00,4
1/28/2020,3011,Infrastructure Projects,1871460309.00,7,Denji,1871459102.00,34
1/28/2020,3820,Consulting Services,40437797.00,2,Reze,40442822.00,9
1/28/2020,3940,Consulting Services,1368014202.00,3,Reze,1368021025.00,8
1/28/2020,4127,Goods,575485280.00,1,Makima,575493895.00,10
1/28/2020,4638,Goods,1399707335.00,1,Reze,1399712041.00,12
1/28/2020,4763,Consulting Services,1827941934.00,3,Fami,1827932921.00,8
1/29/2020,1651,Infrastructure Projects,459846397.00,1,Mikata,459855845.00,32
1/30/2020,987,Infrastructure Projects,987638295.00,10,Himeno,987637237.00,32
1/31/2020,742,Infrastructure Projects,1437029355.00,5,Power,1437034231.00,24
1/31/2020,936,Consulting Services,1607294692.00,4,Pochita,1607300883.00,3
1/31/2020,1058,Goods,307544178.00,2,Nayuta,307549568.00,12
1/31/2020,2053,Consulting Services,831021729.00,9,Denji,831015326.00,11
1/31/2020,3966,Infrastructure Projects,570929979.00,2,Mikata,570939362.00,12
1/31/2020,4479,Infrastructure Projects,305032607.00,1,Nayuta,305029775.00,15
2/1/2020,108,Goods,301984123.00,8,Pochita,301989126.00,11
2/1/2020,992,Infrastructure Projects,1147301081.00,4,Nayuta,1147293260.00,35
2/1/2020,3047,Infrastructure Projects,235475841.00,5,Denji,235477622.00,22
2/2/2020,421,Goods,673718466.00,6,Pochita,673718248.00,12
2/2/2020,1355,Goods,1108330718.00,8,Reze,1108330486.00,9
2/2/2020,3297,Consulting Services,1650344067.00,4,Makima,1650345190.00,7
2/3/2020,604,Goods,827846286.00,6,Denji,827846790.00,3
